images_65 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.8012, nll : +0.0403, mse_loss : +0.0087, l1_loss : +0.0521, perceptual_edge_loss : +0.0000, psnr : +18.4203, ssim : +0.5508
images_65 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.7328, nll : +0.0393, mse_loss : +0.0069, l1_loss : +0.0446, perceptual_edge_loss : +0.0000, psnr : +19.2243, ssim : +0.5843
images_65 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.6919, nll : +0.0393, mse_loss : +0.0075, l1_loss : +0.0467, perceptual_edge_loss : +0.8954, psnr : +18.2373, ssim : +0.5572
images_65 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.4550, nll : +0.0393, mse_loss : +0.0058, l1_loss : +0.0394, perceptual_edge_loss : +0.8512, psnr : +19.4685, ssim : +0.6045
images_65 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.4280, nll : +0.0393, mse_loss : +0.0057, l1_loss : +0.0391, perceptual_edge_loss : +0.8453, psnr : +19.4923, ssim : +0.6043
images_65 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.4272, nll : +0.0393, mse_loss : +0.0054, l1_loss : +0.0382, perceptual_edge_loss : +0.0833, psnr : +19.3706, ssim : +0.6096
images_65 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.4024, nll : +0.0393, mse_loss : +0.0053, l1_loss : +0.0380, perceptual_edge_loss : +0.0832, psnr : +19.5167, ssim : +0.6138
images_65 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.3724, nll : +0.0393, mse_loss : +0.0050, l1_loss : +0.0369, perceptual_edge_loss : +0.0844, psnr : +19.6596, ssim : +0.6200
images_65 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.3847, nll : +0.0393, mse_loss : +0.0050, l1_loss : +0.0370, perceptual_edge_loss : +0.0083, psnr : +19.7079, ssim : +0.6208
images_65 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.3099, nll : +0.0393, mse_loss : +0.0041, l1_loss : +0.0337, perceptual_edge_loss : +0.0083, psnr : +19.9507, ssim : +0.6419
images_65 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.3005, nll : +0.0393, mse_loss : +0.0038, l1_loss : +0.0327, perceptual_edge_loss : +0.0083, psnr : +20.0359, ssim : +0.6492
